Date,GMI_FCI
1997-12-26,-1.010124897960437
1998-01-02,-1.1568376017662318
1998-01-09,-2.067851899459846
1998-01-16,-1.995486076021397
1998-01-23,-1.267052083875531
1998-01-30,-0.999775701092914
1998-02-06,-1.2654744862338336
1998-02-13,-1.177929717899963
1998-02-20,-1.117953661581441
1998-02-27,-0.6584766446235245
1998-03-06,-0.3941119301442922
1998-03-13,-0.8361289948475807
1998-03-20,-0.5931487316715889
1998-03-27,-0.08152779423261437
1998-04-03,-0.44766674344408786
1998-04-10,-0.7008741631538319
1998-04-17,-0.47666210887822597
1998-04-24,-0.25590789608901837
1998-05-01,-0.6221515818417894
1998-05-08,-1.1528592114706657
1998-05-15,-1.182114070152564
1998-05-22,-1.432888761289614
1998-05-29,-1.4844915124882
1998-06-05,-2.1418577478490106
1998-06-12,-2.143613565984619
1998-06-19,-2.3732578455282898
1998-06-26,-2.2705567911113667
1998-07-03,-2.462648435683822
1998-07-10,-2.352949441644654
1998-07-17,-1.8926450115596258
1998-07-24,-1.7537537891558634
1998-07-31,-1.6905687610645763
1998-08-07,-2.2926591053394008
1998-08-14,-2.9256899097664832
1998-08-21,-3.1759104438547707
1998-08-28,-4.107606222671896
1998-09-04,-4.718130866610098
1998-09-11,-4.1333010793925995
1998-09-18,-3.747236663584205
1998-09-25,-3.3136467544524253
1998-10-02,-3.1317235958455525
1998-10-09,-3.148022261667504
1998-10-16,-3.0364979073478406
1998-10-23,-2.7733430817759013
1998-10-30,-2.4316645821219196
1998-11-06,-2.0980049803824965
1998-11-13,-1.703873323801882
1998-11-20,-1.386445909442177
1998-11-27,-1.2048136706619919
1998-12-04,-1.2726046409428309
1998-12-11,-1.2467205857331929
1998-12-18,-1.2580242493908653
1998-12-25,-1.1041354666221124
1999-01-01,-1.0908529477835769
1999-01-08,-1.0622560561106185
1999-01-15,-1.0252106205351477
1999-01-22,-0.9979143560053433
1999-01-29,-0.9460879450258631
1999-02-05,-0.8640464110177769
1999-02-12,-0.7325266679719964
1999-02-19,-0.6344309350337874
1999-02-26,-0.5957430353261022
1999-03-05,-0.5551487009413321
1999-03-12,-0.5912057168420994
1999-03-19,-0.5429072065490148
1999-03-26,-0.4553037553482528
1999-04-02,-0.3986138677714528
1999-04-09,-0.3752785615349049
1999-04-16,-0.24831665876551806
1999-04-23,-0.15443344646844714
1999-04-30,-0.06796921894736781
1999-05-07,0.19512235774662187
1999-05-14,0.20808172761261234
1999-05-21,0.24659822451180358
1999-05-28,0.19974692095723556
1999-06-04,0.3260876204472117
1999-06-11,0.3972440661084728
1999-06-18,0.41326812130183116
1999-06-25,0.5332922984420903
1999-07-02,0.4234655778919669
1999-07-09,0.4615341246391035
1999-07-16,0.4596307874638969
1999-07-23,0.5559208571156097
1999-07-30,0.6210467844170552
1999-08-06,0.8733171492734787
1999-08-13,0.9850244229720861
1999-08-20,0.822343952898827
1999-08-27,0.6374981345807212
1999-09-03,0.7014899586525376
1999-09-10,0.5812693315446332
1999-09-17,0.45495413146062835
1999-09-24,0.23376381271765947
1999-10-01,0.21137190805450956
1999-10-08,0.3488458073313736
1999-10-15,0.4845888657871921
1999-10-22,0.4668391860844518
1999-10-29,0.2905984660955097
1999-11-05,-0.13739288416183557
1999-11-12,-0.1969623978070395
1999-11-19,-0.09411854647117343
1999-11-26,0.2398339215969798
1999-12-03,0.5617712660778457
1999-12-10,0.553097591495501
1999-12-17,0.9585377533985564
1999-12-24,1.2678316331633963
1999-12-31,1.1178031923486915
2000-01-07,0.7655496573895451
2000-01-14,0.8056386148528463
2000-01-21,0.8715007651183397
2000-01-28,0.6049274957408128
2000-02-04,0.1718954562455633
2000-02-11,0.592836598523532
2000-02-18,0.27126196413661613
2000-02-25,-0.4937248562140794
2000-03-03,-1.0431579836174738
2000-03-10,-1.4606526230084562
2000-03-17,-2.4448670627745495
2000-03-24,-3.0459107276937893
2000-03-31,-3.49445933434123
2000-04-07,-3.821049773905338
2000-04-14,-3.3343326627509517
2000-04-21,-2.8321131417313334
2000-04-28,-2.392213552707611
2000-05-05,-2.2966831785007056
2000-05-12,-2.1276006883027425
2000-05-19,-2.1036803994391513
2000-05-26,-2.4944989642002557
2000-06-02,-2.592940289693086
2000-06-09,-2.3914777235515667
2000-06-16,-2.1836226125146023
2000-06-23,-1.9216103743160842
2000-06-30,-1.811663843884433
2000-07-07,-1.9343675223391414
2000-07-14,-1.7184415955935994
2000-07-21,-1.4380316580416475
2000-07-28,-1.5066088254736392
2000-08-04,-1.8297678968876538
2000-08-11,-1.7718321818808782
2000-08-18,-1.721786124527639
2000-08-25,-1.725606474195953
2000-09-01,-1.5692420182544795
2000-09-08,-1.5115571406284485
2000-09-15,-1.3511616193678926
2000-09-22,-1.4663561484279377
2000-09-29,-1.6939914252965733
2000-10-06,-1.8594899394164472
2000-10-13,-2.1768134845222717
2000-10-20,-2.550551080585221
2000-10-27,-2.4887077208352744
2000-11-03,-2.451742594546641
2000-11-10,-2.310209769511931
2000-11-17,-2.317085921518313
2000-11-24,-2.5016949811421947
2000-12-01,-2.7140331869780128
2000-12-08,-2.7944834885442447
2000-12-15,-2.4451418613129157
2000-12-22,-2.3169638838573436
2000-12-29,-2.2165317086331187
2001-01-05,-2.1949497909085984
2001-01-12,-1.7466311503146699
2001-01-19,-1.3645531350476792
2001-01-26,-1.1451278441331822
2001-02-02,-0.960898643129746
2001-02-09,-0.7208695846335309
2001-02-16,-0.5830992023397015
2001-02-23,-0.6039878778199793
2001-03-02,-0.6715828030399966
2001-03-09,-0.5620713835853329
